cloridrato de lidocaína | solução injetável | 20 mg/mL (2%) | Componente Básico (CBAF);
cloridrato de lidocaína | solução spray | 100 mg/mL (10%) | Componente Básico (CBAF);
cloridrato de lidocaína + glicose | solução injetável | 50 mg/mL + 75 mg/mL | Componente Básico (CBAF);
cloridrato de lidocaína + hemitartarato de epinefrina | solução injetável | 10 mg + 20 mcg/mL | Componente Básico (CBAF);
cloridrato de lidocaína + hemitartarato de epinefrina | solução injetável | 20 mg + 20 mcg/mL | Componente Básico (CBAF);
cloridrato de lidocaína + hemitartarato de epinefrina | solução injetável | 20 mg + 12,5 mcg/mL | Componente Básico (CBAF);
cloridrato de memantina | comprimido | 10 mg | Componente Especializado (CEAF);
cloridrato de metadona | comprimido | 10 mg | Componente Especializado (CEAF);
cloridrato de metadona | comprimido | 5 mg | Componente Especializado (CEAF);
cloridrato de metadona | solução injetável | 10 mg/mL | Componente Especializado (CEAF);
cloridrato de metformina | comprimido | 500 mg | Componente Básico (CBAF);
cloridrato de metformina | comprimido | 850 mg | Componente Básico (CBAF);
cloridrato de metoclopramida | comprimido | 10 mg | Componente Básico (CBAF);
cloridrato de metoclopramida | solução injetável | 5 mg/ mL | Componente Básico (CBAF);
cloridrato de metoclopramida | solução oral | 4 mg/mL | Componente Básico (CBAF);
cloridrato de minociclina | comprimido | 100 mg | Componente Estratégico (CESAF);
cloridrato de moxifloxacino | comprimido | 400 mg | Componente Estratégico (CESAF);
cloridrato de naloxona | solução injetável | 0,4 mg/mL | Componente Básico (CBAF);
cloridrato de nortriptilina | cápsula | 10 mg | Componente Básico (CBAF);
cloridrato de nortriptilina | cápsula | 25 mg | Componente Básico (CBAF);
cloridrato de nortriptilina | cápsula | 50 mg | Componente Básico (CBAF);
cloridrato de nortriptilina | cápsula | 75 mg | Componente Básico (CBAF);
